timestamp,city,temp_c,humidity,description
2025-09-23T20:47:05,Sydney,12.08,70,clear sky
2025-09-23T20:57:05,Sydney,11.91,71,clear sky
2025-09-23T21:07:06,Sydney,11.91,71,clear sky
2025-09-23T21:30:20,Sydney,11.68,74,clear sky
2025-09-23 21:37:01,Sydney,11.38,73,clear sky
2025-09-24 22:17:08,Sydney,14.82,56,scattered clouds
2025-09-24 22:17:38,Sydney,14.82,56,scattered clouds
2025-09-24 22:21:07,Sydney,14.82,56,scattered clouds
2025-09-26 13:53:23,Sydney,27.16,23,overcast clouds
2025-09-26 13:53:46,Sydney,27.16,23,overcast clouds
2025-09-27 10:13:09,Sydney,24.77,54,overcast clouds
